,isin,nome,ticker,benchmark,ter,areaBenchmark,emittente,strumento,dataSource,startDate,endDate,volAvg
70,LU1829218822,LYXOR EURO CORP BOND EX FIN UCITS ETF,CBEF.MI,MARKIT IBOXX EUR LIQUID NON-FINANCIALS MID PRICE,0.002,OBBLIGAZIONARIO CORPORATE - EURO,LYXOR,ETF,CBEF.MI,2010-02-10,2019-04-04,270
71,LU1048314196,UBS BL BA EU AREA LIQ COR 1-5Y UCITS ETF,CBEU5.MI,BLOOMBERG BARCLAYS EURO AREA LIQUID CORPORATE1-5TR,0.0018,OBBLIGAZIONARIO CORPORATE - EURO,UBS ETF,ETF,LU1048314196,2014-06-20,2019-04-04,49083
72,LU1484799769,UBS BL BA MSCI EU LIQ CORP SUS UCITS ETF,CBSEU.MI,BLOOMBERG BARCLAYS MSCI EURO AREA LIQ CORP SUST TR,0.002,OBBLIGAZIONARIO CORPORATE - EURO,UBS ETF,ETF,LU1484799769,2017-02-14,2019-04-04,36723
73,LU1215461085,UBS BL BA MSCI US LIQ COR SUS UCITS ETF,CBSUS.MI,BLOOMBERG BARCLAYS MSCI US LIQUIDCORPORATESSUST TR,0.002,OBBLIGAZIONARIO CORPORATE - NON EURO,UBS ETF,ETF,LU1215461085,2015-08-31,2019-04-04,570
74,LU1215461325,UBS BL BA MSC US LIQCO SUS UCITS ETF EUH,CBSUSE.MI,BLOOMBERG BARCLAYS MSCI US LIQ CORP SUST HEDGEURTR,0.0025,OBBLIGAZIONARIO CORPORATE - NON EURO,UBS ETF,ETF,LU1215461325,2016-09-13,2019-04-04,0
76,LU1048314949,UBS BL BA US LIQ COR 1-5Y UCITS ETF A-DI,CBUS5.MI,BLOOMBERG BARCLAYS US LIQUIDCORPORATES 1-5 YEAR TR,0.0018,OBBLIGAZIONARIO CORPORATE - NON EURO,UBS ETF,ETF,LU1048314949,2015-01-14,2019-04-04,9235
77,LU1048315243,UBS BL BA US LIQ COR 1-5Y UCITS ETF EU H,CBUS5E.MI,BLOOMBERG BARCLAYSUSLIQUIDCORPORATES15YHEDGEDEURTR,0.0023,OBBLIGAZIONARIO CORPORATE - NON EURO,UBS ETF,ETF,LU1048315243,2015-04-28,2019-04-04,73701
78,LU1048317025,UBS BL BAR US LIQ CORP UCITS ETF EU HEDG,CBUSE.MI,BLOOMBERG BARCLAYS US LIQUID CORPORATESHEDGEDEURTR,0.0023,OBBLIGAZIONARIO CORPORATE - NON EURO,UBS ETF,ETF,CBUSE.MI,2014-06-20,2019-04-04,34001
79,LU1589326013,UBS BARC US LIQ CORP INT R HDG UCITS ETF,CBUSIH.MI,BLOOMBERG BARCLAYSUSLIQUIDCORPORATESDURATIONHEDGTR,0.0023,OBBLIGAZIONARIO CORPORATE - NON EURO,UBS ETF,ETF,LU1589326013,2017-08-03,2019-04-04,469
80,LU1681043912,AMUNDI MSCI CHINA UCITS ETF - EUR,CC1.MI,MSCI CHINA H TRN,0.0055,AZIONARIO EMERGENTI - ASIA,AMUNDI,ETF,CC1.MI,2010-03-17,2019-04-04,861
81,LU1681039647,AMUNDI EURO CORPORATES EUR UCITS ETF,CC4.MI,MARKIT IBOXX EUR LIQ CORP TOP 75 MID TCA,0.0016,OBBLIGAZIONARIO CORPORATE - EURO,AMUNDI,ETF,CC4.MI,2010-04-26,2019-04-04,2149
82,IE00BZ0XVF52,WISDOMTREE AT1 COCO BOND UCITS ETF - USD,CCBO.MI,IBOXX CONTINGEN CONVER LIQ DEVEL EUR AT1 USD UNHGD,0.005,OBBLIGAZIONARIO CORPORATE - EURO,WISDOMTREE,ETF,CCBO.MI,2018-06-07,2019-04-04,2838
84,IE00B53H0131,UBS CMCI COMPOSIT SF UCITS ETF USD A-ACC,CCUSAS.MI,UBS BLOOMBERG CMCI COMPOSITE TR,0.0034,COMMODITIES,UBS ETF,ETF,IE00B53H0131,2015-04-14,2019-04-04,703
85,LU1681042609,AMUNDI MSCI EUROPE UCITS ETF - EUR,CEU.MI,MSCI TRN EUROPE INDEX,0.0015,AZIONARIO EUROPA - AREA,AMUNDI,ETF,CEU.MI,2010-03-17,2019-04-04,1125
86,LU1437015735,AMUNDI MSCI EUROPE UCITS ETF DR,CEU2.MI,MSCI EUROPE,0.0015,AZIONARIO EUROPA - AREA,AMUNDI,ETF,LU1437015735,2017-04-05,2019-04-04,1711
87,IE00BYXZ2585,ISHARESCOREMSCIEMU(DIST) UCITS ETF,CEUDIM.MI,MSCI EMU TRN,0.0012,AZIONARIO EUROPA - AREA,ISHARES,ETF,IE00BYXZ2585,2017-04-26,2019-04-04,72763
88,FR0010655712,AMUNDI ETF DAX UCITS ETF DR,CG1.MI,DAX,0.001,AZIONARIO EUROPA - SINGOLI PAESI,AMUNDI,ETF,CG1.MI,2010-09-10,2019-04-04,394
89,LU1094612022,XTRACKERS II HARVEST CHIN GOVT UCITS ETF,CGB.MI,CSI GILT-EDGED MEDIUM TERM TREASURY NOTE INDEX,0.0055,TITOLI DI STATO - EMERGENTI,XTRACKERS,ETF,LU1094612022,2015-09-09,2019-04-04,978
90,FR0010688192,AMUNDI MSCI EUROPE HEALTHCARE UCITS ETF,CH5.MI,MSCI EUROPE HEALTH CARE,0.0025,AZIONARIO SETTORIALI (SVILUPPATI),AMUNDI,ETF,CH5.MI,2010-04-26,2019-04-04,69
91,LU1440654330,ICBCCS WISDOMTREE S&P CHINA500 UCITS ETF,WTCHIN.MI,S&P CHINA 500,0.0075,AZIONARIO EMERGENTI - ASIA,WISDOMTREE,ETF,LU1440654330,2016-11-03,2019-04-04,14307
92,LU1834983634,LYXOR STX EUROPE 600 CHEMICALS UCITS ETF,CHM.MI,STOXX EUROPE 600 CHEMICALS TRN,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,CHM.MI,2006-11-22,2019-04-04,403
94,FR0010655720,AMUNDI MSCI ITALY UCITS ETF,CI1.MI,MSCI ITALY TRN,0.0025,AZIONARIO ITALIA,AMUNDI,ETF,CI1.MI,2010-03-30,2019-04-04,247
95,LU1681043086,AMUNDI MSCI INDIA UCITS ETF - EUR,CI2.MI,MSCI INDIA,0.008,AZIONARIO EMERGENTI - ASIA,AMUNDI,ETF,CI2.MI,2010-03-17,2019-04-04,139
96,FR0010754127,AMUNDI EURO INFLATION UCITS ETF,CI3.MI,IBOXX EURO INFLATION-LINKED TR,0.0016,INFLAZIONE,AMUNDI,ETF,CI3.MI,2010-05-05,2019-04-04,1496
97,LU1900068914,LYXOR CHINA ENTERPRISE HSCEI UCITS ETF,CINA.MI,HANG SENG CHINA ENTERPRISES NTR,0.0065,AZIONARIO EMERGENTI - ASIA,LYXOR,ETF,CINA.MI,2005-11-25,2019-04-04,3610
98,LU1602144732,AMUNDI MSCI JAPAN UCITS ETF DR - EUR,CJ1.MI,MSCI JAPAN,0.0045,AZIONARIO PACIFICO,AMUNDI,ETF,CJ1.MI,2010-09-08,2019-04-04,834
99,FR0010756114,AMUNDI MSCI WORLD EX EMU UCITS ETF,CM9.MI,MSCI WORLD EX EMU NTR,0.0035,AZIONARIO MONDO,AMUNDI,ETF,CM9.MI,2010-04-22,2019-04-04,697
100,IE00BD6FTQ80,INVESCO BLOOMBERG COMMODITY UCITS ETF,CMOD.MI,BLOOMBERG COMMODITY INDEX,0.0019,COMMODITIES,INVESCO,ETF,IE00BD6FTQ80,2017-04-18,2019-04-04,2679
102,LU1602144575,AMUNDI MSCI EMU UCITS ETF DR - EUR,CMU.MI,MSCI EMU TRN,0.0025,AZIONARIO EUROPA - AREA,AMUNDI,ETF,CMU.MI,2010-03-17,2019-04-04,6549
103,LU1681044647,AMUNDI MSCI NORDIC EUR UCITS ETF,CN1.MI,MSCI NORDIC COUNTRIES TRN,0.0025,AZIONARIO EUROPA - AREA,AMUNDI,ETF,CN1.MI,2011-03-22,2019-04-04,570
104,FR0011720911,LYXOR FORTSG MSCI CHI A DR UCITS ETF ACC,CNAA.MI,MSCI CHINA A ONSHORE TRN,0.0085,AZIONARIO EMERGENTI - ASIA,LYXOR,ETF,FR0011720911,2016-01-20,2019-04-04,109
105,IE00BFNNN236,WISDOMTREE AT1 COCO BOND UCITS ETF EUR-H,COBO.MI,IBOXX CONTINGEN CONV LIQ DEVELOPED EUR AT1 EUR HDG,0.005,OBBLIGAZIONARIO CORPORATE - HIGH YIELD,WISDOMTREE,ETF,COBO.MI,2018-08-24,2019-04-04,317
107,IE00BNH72088,SPDR THOM REUT GL CONVERT BOND UCITS ETF,CONV.MI,THOMSON REUTERS QUALIFIED GLOBAL CONVERTIBLE TRN,0.005,OBBLIGAZIONARIO CORPORATE - MONDO,SPDR,ETF,IE00BNH72088,2015-04-23,2019-04-04,1990
108,IE00BSVYHQ11,L&G LOIM GLOBAL GOVT BOND FUND UCITS ETF,CORED.MI,LOIM FUNDAMENTAL GLOBAL GOVERNMENT TR,0.0025,TITOLI DI STATO - MONDO,LEGAL & GENERAL,ETF,IE00BSVYHQ11,2016-04-19,2019-04-04,64
109,IE00B7J7TB45,ISHARES GLOBAL CORP BOND UCITS ETF DIST,CORP.MI,BARCLAYS GLOBAL AGGREGATE CORPORATE BOND TR,0.002,OBBLIGAZIONARIO CORPORATE - MONDO,ISHARES,ETF,IE00B7J7TB45,2013-05-20,2019-04-04,9730
110,LU1602144906,AMUNDI MSCI PACIF EXJPN UCITS ETF DR EUR,CP9.MI,MSCI PACIFIC EX JAPAN,0.0045,AZIONARIO PACIFICO,AMUNDI,ETF,CP9.MI,2010-03-17,2019-04-04,191
111,LU1829218749,LYXOR COMMODITY CRB TR UCITS ETF,CRB.MI,THOMSON REUTERS/JEFFERIES CRB TOTAL RETURN,0.0035,COMMODITIES,LYXOR,ETF,CRB.MI,2006-06-01,2019-04-04,8454
112,LU1435770406,LYXOR COMM CRB EX-AGRIC UCITS ETF ACC,CRBA.MI,THOM REUT/CORE COMM CRB NON-AGRI AND LIVESTOCK TRI,0.0035,COMMODITIES,LYXOR,ETF,LU1435770406,2016-12-13,2019-04-04,45
113,LU1829218582,LYXOR COMMODITY EX-ENERGY TR UCITS ETF,CRBN.MI,THOMSON REUTERS/JEFFERIES CRB EX-ENERGY TR,0.0035,COMMODITIES,LYXOR,ETF,CRBN.MI,2006-11-16,2019-04-04,1407
114,IE00BSVYHV63,L&G LOIM GLOBAL CORP BOND FUND UCITS ETF,CRED.MI,LOIM FUNDAMENTAL GLOBAL CORPORATE TR,0.0035,OBBLIGAZIONARIO CORPORATE - MONDO,LEGAL & GENERAL,ETF,IE00BSVYHV63,2016-04-19,2019-04-04,100
115,LU1829219127,LYXOR EURO CORPORATE BOND UCITS ETF,CRPE.MI,MARKIT IBOXX EUR LIQUID CORPORATE 125 MID PRICE,0.002,OBBLIGAZIONARIO CORPORATE - EURO,LYXOR,ETF,CRPE.MI,2009-06-15,2019-04-04,6477
116,LU0876440578,OSSIAM RISK WEIG EN COMM EX GR UCITS ETF,CRWE.MI,RISK WEIGHTED ENHANCED COMMODITY EX. GRAINS TR,0.0045,COMMODITIES,OSSIAM,ETF,LU0876440578,2013-09-12,2019-04-04,32
117,FR0010655746,AMUNDI MSCI SPAIN UCITS ETF,CS1.MI,MSCI SPAIN TRN,0.0025,AZIONARIO EUROPA - SINGOLI PAESI,AMUNDI,ETF,FR0010655746,2011-12-06,2019-04-04,331
118,IE00B3VTMJ91,ISHARES EU GOVT BOND 1-3YR UCITS ETF ACC,CSBGE3.MI,BARCLAYS EURO GOV BOND 1-3 YEAR TERM,0.002,TITOLI DI STATO - EURO,ISHARES,ETF,CSBGE3.MI,2009-10-16,2019-04-03,9389
119,IE00B3VTML14,ISHARES EU GOVT BOND 3-7YR UCITS ETF ACC,CSBGE7.MI,BARCLAYS EURO GOV BOND 3-7 YEAR TERM,0.002,TITOLI DI STATO - EURO,ISHARES,ETF,CSBGE7.MI,2009-10-19,2019-04-03,5533
120,IE00B3VWN179,ISHARES $ TREA 1-3YR UCITS ETF USD ACC B,CSBGU3.MI,BARCLAYS US TREASURY 1-3 YEAR TERM,0.002,TITOLI DI STATO - NON EURO,ISHARES,ETF,CSBGU3.MI,2009-10-23,2019-04-03,6113
121,IE00B3VWN393,ISHARES $ TREASURY 3-7YR UCITS ETF ACC,CSBGU7.MI,BARCLAYS US TREASURY 3-7 YEAR TERM,0.002,TITOLI DI STATO - NON EURO,ISHARES,ETF,CSBGU7.MI,2009-10-16,2019-04-03,2061
125,IE00B3VWMM18,ISHARES MSCI EMU SMALL CAP UCITS ETF ACC,CSEMUS.MI,MSCI EMU SMALL CAP TRN,0.0058,AZIONARIO STYLE (SVILUPPATI),ISHARES,ETF,CSEMUS.MI,2009-10-16,2019-04-03,1349
127,IE00B5W4TY14,ISHARES MSCI KOREA UCITS ETF USD ACC,CSKR.MI,MSCI KOREA TRN,0.0065,AZIONARIO EMERGENTI - ASIA,ISHARES,ETF,CSKR.MI,2010-09-15,2019-04-04,87
129,IE00B5WHFQ43,ISHARES MSCI MEX CAP UCITS ETF USD ACC,CSMXCP.MI,MSCI MEXICO CAPPED TRN,0.0065,AZIONARIO EMERGENTI - CENTRO/SUD AMERICA,ISHARES,ETF,CSMXCP.MI,2010-09-15,2019-04-04,655
131,IE00B52MJD48,ISHARES NIKKEI 225 UCITS ETF JPY ACC,CSNKY.MI,NIKKEI 225,0.0048,AZIONARIO PACIFICO,ISHARES,ETF,CSNKY.MI,2010-03-10,2019-04-04,1030
132,IE00B52MJY50,ISHARES CORE MSCI PAC EX-J UCITS ETF ACC,CSPXJ.MI,MSCI PACIFIC EX JAPAN TRN INDEX,0.002,AZIONARIO PACIFICO,ISHARES,ETF,IE00B52MJY50,2010-03-10,2019-04-04,4820
134,IE00B5BMR087,ISHARES CORE S&P 500 UCITS ETF USD ACC,CSSPX.MI,S&P 500 TRN USD,0.0007,AZIONARIO NORD AMERICA,ISHARES,ETF,IE00B5BMR087,2010-05-26,2019-04-04,35724
137,IE00B539F030,ISHARES MSCI UK UCITS ETF ACC,CSUK.MI,MSCI UK TRN,0.0033,AZIONARIO EUROPA - SINGOLI PAESI,ISHARES,ETF,CSUK.MI,2010-03-10,2019-04-04,117
139,IE00B3VWM098,ISHARES MSCI USA SMALL CAP UCITS ETF ACC,CSUSS.MI,MSCI USA SMALL CAP TRN,0.0043,AZIONARIO STYLE (SVILUPPATI),ISHARES,ETF,CSUSS.MI,2009-10-20,2019-04-03,428
140,FR0010655761,AMUNDI MSCI UK UCITS ETF,CU1.MI,MSCI UK TRN,0.0025,AZIONARIO EUROPA - SINGOLI PAESI,AMUNDI,ETF,FR0010655761,2011-12-06,2019-04-04,930
141,LU1681042864,AMUNDI MSCI USA UCITS ETF - EUR,CU2.MI,MSCI USA,0.0028,AZIONARIO NORD AMERICA,AMUNDI,ETF,CU2.MI,2010-03-15,2019-04-04,488
142,FR0010821819,AMUNDI MSCI EUROPE EX EMU UCITS ETF,CU9.MI,MSCI EUROPE EX EMU NTR,0.003,AZIONARIO EUROPA - AREA,AMUNDI,ETF,CU9.MI,2010-04-30,2019-04-04,43
143,LU1681043599,AMUNDI MSCI WORLD UCITS ETF - EUR,CW8.MI,MSCI WORLD INDEX,0.0038,AZIONARIO MONDO,AMUNDI,ETF,CW8.MI,2010-09-10,2019-04-04,529
